Epoch,Total Loss,KL Loss,Reconstruction Loss
0,963.7776903788249,85.67723793163896,792.4232152938843
1,192.18549359639485,36.38097486495972,119.42354386647543
2,144.99939498901367,24.15667117436727,96.68605206807455
3,133.41390368143718,19.84796929359436,93.7179653485616
4,125.95683631896972,17.801903772354127,90.35302823384603
5,121.1098393758138,16.427129983901978,88.25557956695556
6,115.04432773590088,16.118374069531757,82.80757948557536
7,104.62373447418213,16.364418292045592,71.89489793777466
8,94.32973556518554,16.320167350769044,61.68940092722575
9,84.99679997762044,15.832546957333882,53.331706523895264
10,81.41581802368164,15.523761963844299,50.36829433441162
11,78.60058444341024,15.30098996957143,47.99860429763794
12,76.7110200881958,14.950809733072917,46.80940078099569
13,75.49686670303345,14.493517478307089,46.50983231862386
14,72.22106097539266,14.277707409858703,43.66564626693726
15,69.94807850519815,13.93491923014323,42.078240156173706
16,68.65793380737304,13.767771482467651,41.12239087422689
17,67.1210423151652,13.57636702855428,39.968308273951216
18,64.06947704950969,13.152528580029806,37.76441979408264
19,62.84623543421427,13.148989653587341,36.54825633366902
20,61.700559425354,13.250689228375753,35.1991810798645
21,59.23665920893351,13.112445958455403,33.01176721254985
22,57.83778667449951,12.796641238530476,32.24450438817342
23,55.77995964686076,12.615118288993836,30.549723037083943
24,54.22916021347046,12.43346337477366,29.362233654658
25,53.89499804178874,12.354949895540873,29.185098282496135
26,52.64077304204305,12.180980825424195,28.278811152776083
27,51.70051279067993,11.862000679969787,27.97651138305664
28,51.099452877044676,11.786298600832621,27.526855786641438
29,49.71783326466878,11.536926460266113,26.643980185190838
30,49.53848117192586,11.318131271998087,26.902218627929688
31,48.949216747283934,11.0342125415802,26.880791568756102
32,46.72122446695963,10.64583937327067,25.429545561472576
33,46.001654370625815,10.455302755037943,25.091048765182496
34,43.39411290486654,9.796548533439637,23.801015893618267
35,41.087117195129395,9.282194137573242,22.52272866566976
36,39.20531361897786,8.981862107912699,21.24158918062846
37,37.931800254185994,8.599697399139405,20.732405432065327
38,37.003675651550296,8.409174350897471,20.185326759020487
39,36.650104427337645,8.338929458459218,19.97224566936493
40,35.58545076052348,8.22383732398351,19.137776120503744
41,34.67993372281392,8.026939868927002,18.626054008801777
42,33.873462200164795,7.770640432834625,18.332181334495544
43,33.83293501536051,7.804719340801239,18.223496294021608
44,32.85882798830668,7.6809190034866335,17.49698990980784
45,32.6468634446462,7.676201915740966,17.29445962905884
46,31.797049935658773,7.457489856084188,16.882070334752402
47,31.722914091746013,7.490977557500203,16.740958952903746
48,31.268882083892823,7.413195562362671,16.442490800221762
49,30.85187431971232,7.3455591638882956,16.160756206512453
50,30.4984654267629,7.270607650279999,15.957250150044759
51,30.24378712972005,7.347412796815236,15.54896159172058
52,30.225477997461955,7.364679606755574,15.496118728319804
53,30.159430170059203,7.269060397148133,15.62130929629008
54,29.396094210942586,7.264617590109507,14.866859014829
55,29.59910640716553,7.209145232041677,15.180815847714742
56,29.323876190185548,7.294264749685923,14.735346746444701
57,29.071326796213786,7.232096815109253,14.607133142153423
58,28.82457407315572,7.179928851127625,14.464716339111328
59,28.873603518803915,7.133902132511139,14.605799277623495
60,28.551398102442423,7.068461545308431,14.414475059509277
61,28.747988812128703,7.144645281632742,14.458698264757793
62,28.16700932184855,7.055811401208242,14.055386447906494
63,27.90156242052714,7.0121735572814945,13.87721529006958
64,27.762516482671103,6.956534636020661,13.849447115262349
65,27.962557792663574,7.0211090842882795,13.920339560508728
66,27.851057799657188,6.990330787499746,13.870396256446838
67,27.372211281458537,6.892692589759827,13.586826141675314
68,27.06360165278117,6.896077557404836,13.27144653002421
69,27.102273813883464,6.854250220457713,13.393773444493611
70,27.364466126759847,6.889455366134643,13.585555374622345
71,26.87013292312622,6.822696304321289,13.22474037806193
72,26.885871108373006,6.8353381037712095,13.215194940567017
73,26.50810192426046,6.7753057400385535,12.957490519682567
74,26.56790682474772,6.759020427862803,13.049866032600402
75,26.562469005584717,6.7339231967926025,13.094622548421224
76,26.150289328893027,6.650019911924998,12.850249409675598
77,26.373934729894003,6.731384607156118,12.911165523529053
78,26.16109731992086,6.698861742019654,12.763373796145121
