Epoch,Total Loss,KL Loss,Reconstruction Loss
0,1112.8360260819966,85.5889792083639,941.6580670112003
1,188.55474124334555,34.726969440426444,119.10080199115045
2,142.64344578295683,22.868479332037733,96.90648752398195
3,131.8636243702036,18.90255146532987,94.05852164209416
4,125.7215700402724,16.952897713247655,91.81577446186436
5,121.1377207663207,15.584206581115723,89.96930731714299
6,118.75797231218456,14.916548340721468,88.9248760864798
7,116.09810645179411,14.464478669968326,87.16914904434068
8,106.64146024990926,14.459315181833453,77.72282956553771
9,97.58314709958778,14.852207563619698,67.87873259687845
10,88.13885079442927,14.693539560368631,58.751771336108185
11,83.83320084293332,14.614196903937685,54.60480671435331
12,79.99448354265331,14.201269884025102,51.591944095307745
13,75.95986216047169,13.782118535674778,48.39562542670596
14,74.29560335547524,13.542245712955442,47.21111199708111
15,73.0008245147435,13.15485715444109,46.69111030713647
16,71.4102465874326,13.16594871588513,45.078348953112034
17,70.63931915823338,12.937450932190481,44.764417462644325
18,68.20990675529548,12.70502375712437,42.79985924104674
19,67.19890314287844,12.322557263669715,42.553788632418204
20,65.04615000496923,12.23218201325003,40.58178580967726
21,64.17024794722025,11.967938591948652,40.2343710502692
22,62.852308222677856,11.897098625655723,39.05811097136641
23,62.0937411215453,11.816771583219545,38.46019810701893
24,59.28095528931744,11.22990339836188,36.82114850947287
25,57.14898171889043,10.955651181989012,35.23767947306675
26,55.405028756740876,10.736486983510245,33.93205465468685
27,53.753568193553825,10.439435958862305,32.87469609015811
28,51.21568791212234,10.110067198761797,30.99555334580683
29,49.841286043150234,9.67895754248695,30.483370941297142
30,47.60277969225318,9.237013006632306,29.12875349331746
31,46.48900209274967,9.06447333783175,28.360055332690212
32,45.140155623444414,8.568986090938601,28.00218334029206
33,43.10352160023377,8.040409531213541,27.022702580004665
34,41.79124892918409,7.864733565170153,26.06178179884379
35,40.829100380956596,7.711179745935761,25.40674098192063
36,40.52348003556243,7.595394197818452,25.33269171588189
37,40.05393612279301,7.5344417664857035,24.985052589821606
38,39.28198802576656,7.344298767832528,24.59339059137665
39,38.73655658485615,7.400240163887497,23.936076316158328
40,38.89389667679778,7.266665783603634,24.36056505895294
41,38.44896522454456,7.257640686710324,23.933683741409165
42,37.95930994084451,7.231176376342773,23.496957196598558
43,37.948835254770465,7.205050683654515,23.53873385370305
44,37.10409400737391,7.088771136461106,22.92655151502221
45,36.89072146457909,7.044616969285813,22.801487669480586
46,36.63353310644099,6.984192046443973,22.665148929157088
47,36.273619153858284,7.010680654407603,22.252257710009548
48,35.729631913446745,6.869305180237356,21.991021544532437
49,35.69658262539754,6.886307412544183,21.92396776655079
50,35.676425326187,6.865353985170348,21.945717355846305
51,35.18697336922705,6.766222299727718,21.6545287866508
52,34.9086710837035,6.699262813129256,21.51014549964297
53,34.79575861027811,6.633294548608561,21.529169715611282
54,34.21982344905887,6.634311532552263,20.951200223602026
55,34.227436639566335,6.5466115284810025,21.134213396933227
56,33.8282685575232,6.539344032253839,20.749580526773908
57,33.53374508207878,6.4620236337712385,20.60969768794237
58,33.540108773560654,6.482034105115233,20.576040521132207
59,33.1852346943543,6.379371980650235,20.426490792131002
60,32.89696664725785,6.352989597658141,20.190987401303992
61,33.07271829115606,6.354022241271703,20.364673926766994
62,32.24040964852392,6.2187817497591,19.802846182764103
63,32.38654975553529,6.208811266232381,19.968927417181234
64,32.44881424017712,6.156078861877981,20.136656507981563
65,31.767369447556216,6.091122120882558,19.585125340824632
66,31.463081140433793,6.073430086659119,19.316220983994747
67,31.441151289813288,6.032444793566138,19.376261727999797
68,31.152375212812846,5.992827369048532,19.16672045783659
69,31.100938071191838,5.928152354417649,19.244633429873307
70,30.986150302718173,5.954388466556515,19.077373378044737
71,30.682243161496864,5.944084395349553,18.794074353918564
72,30.928640939493096,5.869574888617591,19.189491153818317
73,30.458747087326724,5.911072899809981,18.63660122019
74,30.05005748715021,5.845155277083405,18.35974694986259
75,30.10252452951617,5.86625361231576,18.37001738084101
76,29.72589992421918,5.946695876332511,17.832508196872947
77,29.214277638798265,5.987346307366296,17.23958515065961
78,29.158988058039572,6.136022036054493,16.886944087205734
