Epoch,Total Loss,KL Loss,Reconstruction Loss
0,991.5255907694499,86.782020748655,817.9615504582723
1,188.54662221272787,34.1695382754008,120.20754699707031
2,143.47294540405272,23.212739562988283,97.0474669456482
3,129.88079287211102,18.777887884775797,92.32501681645711
4,125.90363674163818,17.13920563062032,91.6252257347107
5,121.99763565063476,16.04068818092346,89.91625922520956
6,113.87492459615072,15.447865605354309,82.97919317881266
7,105.33186747233073,15.605994216601054,74.11987930933634
8,101.64056975046793,15.27020721435547,71.10015551249187
9,90.98956699371338,14.916557280222575,61.15645275115967
10,82.93151178359986,14.326478330294291,54.278554884592694
11,76.3029192606608,14.152969590822856,47.99697988828023
12,73.71284344991048,13.826244298617045,46.06035463015238
13,71.01427618662517,13.2595485607783,44.49517896970113
14,67.87729686101278,12.80697532494863,42.26334606806437
15,66.67966203689575,12.447717348734537,41.78422708511353
16,65.5288195292155,12.20836341381073,41.11209278106689
17,65.13830162684123,12.232377290725708,40.67354706128438
18,62.53198270797729,11.910234602292379,38.71151345570882
19,61.37600030899048,11.834361378351847,37.707277870178224
20,59.72121464411418,11.598280843098959,36.52465297381083
21,57.82630971272786,11.52600101629893,34.77430766423543
22,56.06621837615967,11.10056877930959,33.86508069038391
23,54.10717665354411,10.6119913260142,32.883194001515704
24,50.46226374308268,9.8847199122111,30.692823934555054
25,48.16131690343221,9.304563204447428,29.552190494537353
26,46.23874937693278,8.9846084634463,28.269532457987467
27,44.829471588134766,8.588632909456889,27.652205832799275
28,42.845008563995364,8.066190413633983,26.712627824147543
29,41.116101026535034,7.684369897842407,25.747361040115358
30,40.169549989700315,7.363829755783081,25.441890438397724
31,39.20036635398865,7.217539397875468,24.765287605921426
32,38.433852974573774,7.162657332420349,24.10853819847107
33,38.00730460484822,6.983632747332255,24.040039094289146
34,37.66717977523804,6.9834228674570715,23.700334199269612
35,36.73400465647379,6.848487754662831,23.037029186884563
36,36.37904372215271,6.738732846577962,22.90157815615336
37,36.67191301981608,6.7277501662572226,23.216412536303203
38,35.687353436152144,6.650158564249675,22.387036339441934
39,35.31707536379496,6.630734097957611,22.05560716787974
40,35.54090944925944,6.592361025015513,22.356187224388123
41,35.21623779932658,6.56581080754598,22.084616160392763
42,34.84750165939331,6.617898289362589,21.611705136299133
43,34.54792229334513,6.567394904295603,21.413132524490358
44,34.190907875696816,6.5686686913172405,21.05357056458791
45,33.62260236740112,6.680983710289001,20.260634795824686
46,32.76846334139506,6.774215590953827,19.220032087961833
47,32.63197498321533,6.967836280663808,18.69630253314972
48,31.766019264856975,6.990041736761729,17.78593578338623
49,31.356363582611085,7.047351710001627,17.261659971872966
50,31.29545612335205,7.165616365273793,16.964223432540894
51,30.795027033487955,7.130731284618378,16.5335644642512
52,30.53058845202128,7.111833008130391,16.306922483444215
53,30.01963300704956,7.139583897590637,15.74046528339386
54,30.173825979232788,7.133858974774679,15.906108093261718
55,29.93285648028056,7.181662635008494,15.569531114896138
56,29.7229444026947,7.180394367376963,15.362155644098918
57,29.361072746912637,7.135535792509715,15.090001098314922
58,28.903223975499472,7.063956507047018,14.775310945510864
59,28.882647434870403,7.064610556761424,14.753426472345987
60,28.46849978764852,7.084290091196696,14.299919549624125
61,28.532367038726807,7.157836516698201,14.216694005330403
62,28.551570638020834,7.054610256354014,14.442350276311238
63,27.942047373453775,6.961614628632863,14.01881821155548
64,27.96809436480204,6.949757246176402,14.068579943974813
65,27.893049160639446,7.013628180821737,13.865792822837829
66,27.669520123799643,6.999643210570017,13.670233742396038
67,27.306127055486044,6.929377150535584,13.447372794151306
68,27.49709685643514,6.868512078126272,13.760072763760885
69,27.203444004058838,6.88748715321223,13.428469673792522
70,27.206164391835532,6.926857288678487,13.352449750900268
71,27.205992952982584,6.918050102392832,13.369892835617065
72,26.93772964477539,6.882715634504954,13.172298415501912
73,26.863012472788494,6.755730219682058,13.351552033424378
74,26.65181679725647,6.847162147363027,12.957492593924204
75,26.67290016810099,6.770981025695801,13.130938116709391
76,26.52971099217733,6.787800149122874,12.954110670089722
77,26.46764588356018,6.7641061822573345,12.939433578650156
78,26.204150756200153,6.662665911515554,12.87881889740626
