,1,2,3,4,5,6
227,4,11,25,26,28,37
228,2,12,13,23,25,30
229,3,9,10,17,24,32
230,13,17,18,23,25,27
231,2,4,10,11,18,35
232,1,11,21,23,27,36
233,16,24,28,34,35,36
234,15,18,23,25,29,37
235,10,16,19,23,24,28
236,4,12,20,30,35,37
237,2,11,13,27,28,31
238,11,13,14,17,21,23
239,8,9,23,24,28,33
240,2,8,15,16,23,33
241,8,11,14,16,18,29
242,2,10,13,16,32,37
243,2,13,19,20,22,25
244,7,12,13,21,28,35
245,3,4,9,19,22,26
246,3,6,8,13,18,27
247,12,18,20,26,29,37
248,1,2,8,19,28,30
249,3,16,22,25,26,37
250,2,10,19,32,33,37
251,2,5,22,26,30,33
252,7,9,10,21,24,33
253,8,14,15,20,32,33
254,4,6,13,14,16,31
255,9,11,15,21,23,24
256,4,9,13,14,25,34
257,1,5,10,21,22,33
258,1,13,14,17,19,20
259,1,5,9,24,36,37
260,4,6,14,20,28,31
261,10,11,12,20,26,35
262,4,8,13,17,28,29
263,11,22,23,25,32,34
264,2,5,11,18,24,25
265,2,15,19,33,34,36
266,1,2,13,14,22,36
267,3,5,13,23,24,35
268,1,3,4,13,20,37
269,2,6,10,11,16,35
270,2,5,6,7,15,30
271,2,7,8,10,30,31
272,5,13,15,21,22,33
273,3,5,7,9,19,27
274,1,7,16,23,28,34
275,1,5,25,27,28,31
276,8,16,22,26,28,34
277,11,12,18,33,35,36
278,4,5,14,17,24,32
279,1,6,12,14,18,34
280,1,5,24,25,29,35
281,7,13,15,22,29,34
282,7,20,24,26,27,37
283,8,15,19,23,27,37
284,14,16,22,23,29,30
285,4,12,13,15,16,24
286,8,10,15,20,23,32
287,5,9,18,21,30,33
288,5,22,26,31,33,36
289,3,7,12,13,20,31
290,3,16,18,20,30,36
291,6,21,28,30,32,35
292,14,17,19,20,28,29
293,2,4,17,31,33,35
294,3,7,12,16,23,37
295,6,14,17,22,24,33
296,1,9,17,22,33,36
297,2,9,11,13,35,37
298,12,24,25,28,34,37
299,5,12,14,16,17,24
300,6,19,20,25,27,32
301,12,13,16,21,25,33
302,1,10,17,20,35,36
303,1,5,12,27,32,36
304,3,9,11,22,26,34
305,3,8,9,16,20,21
306,3,5,19,20,31,37
307,8,10,16,18,23,30
308,1,15,21,25,33,37
309,9,16,19,23,26,33
310,3,4,12,16,22,31
311,5,8,9,11,18,22
312,1,5,22,27,28,29
313,2,13,21,22,23,25
314,4,17,25,27,34,37
315,2,20,24,25,32,34
316,9,19,22,24,29,34
317,5,6,12,18,23,31
318,5,10,14,23,26,35
319,1,17,23,24,32,37
320,5,11,14,24,30,36
321,3,17,19,22,23,28
322,20,22,31,32,36,37
323,2,8,15,22,24,35
324,5,10,12,14,24,29
325,1,8,14,19,29,37
326,2,5,12,17,23,32
327,5,6,13,16,20,28
328,6,19,23,28,33,34
329,4,6,24,26,35,36
330,4,5,8,13,17,28
331,3,6,14,22,32,37
332,2,12,19,20,21,36
333,11,12,29,31,34,35
334,2,6,7,19,24,28
335,6,20,21,24,30,31
336,1,12,14,17,24,28
337,15,18,21,24,28,34
338,5,9,14,27,29,34
339,10,20,24,26,28,35
340,4,17,20,21,33,34
341,4,6,7,15,16,34
342,1,3,11,13,25,34
343,12,13,17,21,23,25
344,3,6,10,12,30,36
